sentence_id_2,sentence_id_1,sentence_text_2,argument_id_2,sentence_text_1,argument_id_1,score
B0358007p,B0189005p,The people's authority transcends that of the king,B0358,"Historical examples show that when individuals or nations are faced with the choice between submission to tyranny and the defense of their rights, the latter is not only a moral obligation but a necessary action to protect their freedoms",B0189,0.5380801188177868
S0023231009p,B0783003p,Disregarding foundational legal principles would weaken the very security that protects the populace from tyranny and division,S0023231,The King is bound by his Coronation Oath to uphold justice,B0783,0.6350546226630841
B1001007p,B0163007p,It is impossible for an unjust government to maintain control indefinitely,B1001,"The notion that a king can rule absolutely without accountability leads to tyranny, which is condemned by both philosophical and scriptural standards",B0163,0.8021215729095214
B0115003p,B0108004p,Justice and legitimacy cannot be derived from arbitrary or hereditary claims that lack a foundation in natural law,B0115,No single individual has a rightful claim to rule over others without their consent,B0108,0.803518645024856
S0020165007p,B0052006p,It is imperative to safeguard against the erosion of rights and ensure that the rule of law prevails over mob mentality and scapegoating,S0020165,"When a governor exceeds the power granted to him by law and uses it for his own benefit, he usurps the rights of the people",B0052,0.5837316877145743
B1213001p,B1089005p,Obedience to authority is indeed a requirement for the preservation of life and order,B1213,The sovereign is entrusted with essential rights that cannot be transferred or diminished,B1089,0.5943578229889457
B0248003p,B0202004p,The legitimacy of a governing body does not depend on its historical duration but rather on the rectitude of its institution and the consent of the governed,B0248,The authority and power of magistrates derive from the people who appoint them,B0202,0.8940440119342119
B0493004p,B0262005p,"This process of consent is fundamental; without it, the very notion of a political compact becomes meaningless",B0493,The power to govern originates from the people's will,B0262,0.9010412892593195
B0318004p,B0093002p,"Kingdoms that are formed through the consent of the governed, as seen in the example of Brutus and the communities that chose him as their king, are based on mutual agreement and shared laws",B0318,A government is instituted to serve the interests of the populace,B0093,0.6443695845477422
B0757003p,B0030008p,"When kings assume power that is unbounded by laws, they risk alienating their subjects and fostering a desire for liberty among the populace",B0757,The community can safeguard its liberties and properties against any legislative overreach,B0030,0.8104668283708809
